GarageType,GarageYrBlt,GarageFinish,GarageQual,BsmtExposure,BsmtFinType2,BsmtFinType1,BsmtCond,BsmtQual,MasVnrArea,MasVnrType,Electrical,LotConfig,LandSlope,MSZoning,Foundation,ExterCond,ExterQual,Exterior2nd,Exterior1st,RoofMatl,RoofStyle,YearRemodAdd,YearBuilt,OverallCond,OverallQual,HouseStyle,BldgType,Condition2,BsmtFinSF1,LotArea,Street,LotShape,Condition1,Neighborhood,LandContour,Utilities,SaleCondition,HeatingQC,BsmtFinSF2,TotRmsAbvGrd,YrSold,MoSold,MiscVal,PoolArea,ScreenPorch,3SsnPorch,EnclosedPorch,OpenPorchSF,WoodDeckSF,PavedDrive,GarageArea,GarageCars,Fireplaces,Functional,KitchenQual,BsmtUnfSF,KitchenAbvGr,BedroomAbvGr,HalfBath,FullBath,BsmtHalfBath,BsmtFullBath,GrLivArea,LowQualFinSF,2ndFlrSF,1stFlrSF,CentralAir,SaleType,Heating,TotalBsmtSF,MSSubClass
Detchd,1965.0,Unf,TA,No,Unf,Rec,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Hip,1965,1965,5,5,1Story,1Fam,Norm,906,11200,Pave,Reg,Norm,Sawyer,Lvl,AllPub,Normal,Ex,0,5,2008,2,0,0,0,0,0,0,0,Y,384,1,0,Typ,TA,134,1,3,0,1,0,1,1040,0,0,1040,Y,WD,GasA,1040,20
BuiltIn,2005.0,Fin,TA,No,Unf,GLQ,TA,Ex,286.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Ex,Wd Shng,WdShing,CompShg,Hip,2006,2005,5,9,2Story,1Fam,Norm,998,11924,Pave,IR1,Norm,NridgHt,Lvl,AllPub,Partial,Ex,0,11,2006,7,0,0,0,0,0,21,147,Y,736,3,2,Typ,Ex,177,1,4,0,3,0,1,2324,0,1142,1182,Y,New,GasA,1175,60
Detchd,1962.0,Unf,TA,No,Unf,ALQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Plywood,HdBoard,CompShg,Hip,1962,1962,6,5,1Story,1Fam,Norm,737,12968,Pave,IR2,Norm,Sawyer,Lvl,AllPub,Normal,TA,0,4,2008,9,0,0,176,0,0,0,140,Y,352,1,0,Typ,TA,175,1,2,0,1,0,1,912,0,0,912,Y,WD,GasA,912,20
Attchd,2006.0,RFn,TA,Av,Unf,Unf,TA,Gd,306.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2007,2006,5,7,1Story,1Fam,Norm,0,10652,Pave,IR1,Norm,CollgCr,Lvl,AllPub,Partial,Ex,0,7,2007,8,0,0,0,0,0,33,160,Y,840,3,1,Typ,Gd,1494,1,3,0,2,0,0,1494,0,0,1494,Y,New,GasA,1494,20
Attchd,1960.0,RFn,TA,No,Unf,BLQ,TA,TA,212.0,BrkFace,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,MetalSd,MetalSd,CompShg,Hip,1960,1960,5,6,1Story,1Fam,Norm,733,10920,Pave,IR1,Norm,NAmes,Lvl,AllPub,Normal,TA,0,5,2008,5,0,0,0,0,176,213,0,Y,352,1,1,Typ,TA,520,1,2,1,1,0,1,1253,0,0,1253,Y,WD,GasA,1253,20
Detchd,1991.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,FuseA,Corner,Gtl,RM,BrkTil,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,2001,1929,8,7,1.5Unf,1Fam,Norm,0,6120,Pave,Reg,Norm,BrkSide,Lvl,AllPub,Normal,Ex,0,5,2007,7,0,0,0,0,0,112,48,Y,576,2,0,Typ,TA,832,1,2,0,1,0,0,854,0,0,854,Y,WD,GasA,832,45
Attchd,1970.0,Fin,TA,No,Unf,ALQ,TA,TA,180.0,BrkFace,SBrkr,CulDSac,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1970,1970,7,6,1Story,1Fam,Norm,578,11241,Pave,IR1,Norm,NAmes,Lvl,AllPub,Normal,Ex,0,5,2010,3,700,0,0,0,0,0,0,Y,480,2,1,Typ,TA,426,1,2,0,1,0,1,1004,0,0,1004,Y,WD,GasA,1004,20
CarPort,1967.0,Unf,TA,,,,,,0.0,None,SBrkr,Inside,Gtl,RL,Slab,TA,TA,MetalSd,MetalSd,CompShg,Gable,1967,1967,5,4,1Story,Duplex,Norm,0,10791,Pave,Reg,Norm,Sawyer,Lvl,AllPub,Normal,TA,0,6,2006,10,500,0,0,0,0,0,0,Y,516,2,0,Typ,TA,0,2,2,0,2,0,0,1296,0,0,1296,Y,WD,GasA,0,90
Detchd,2004.0,Unf,TA,No,Unf,GLQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,PConc,TA,TA,VinylSd,VinylSd,CompShg,Gable,2004,2004,5,5,1Story,1Fam,Norm,646,13695,Pave,Reg,RRAe,SawyerW,Lvl,AllPub,Normal,Ex,0,6,2008,6,0,0,0,0,0,102,0,Y,576,2,0,Typ,Gd,468,1,3,1,1,0,1,1114,0,0,1114,Y,WD,GasA,1114,20
Attchd,1958.0,Unf,TA,No,Unf,LwQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Plywood,BrkFace,CompShg,Hip,1965,1958,6,5,1Story,1Fam,Norm,504,7560,Pave,Reg,Norm,NAmes,Lvl,AllPub,Abnorml,TA,0,6,2009,5,0,0,0,0,0,0,0,Y,294,1,0,Min1,TA,525,1,3,0,1,0,0,1339,0,0,1339,Y,COD,GasA,1029,20
BuiltIn,2005.0,RFn,TA,Av,Unf,Unf,TA,Ex,380.0,BrkFace,SBrkr,Corner,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2006,2005,5,8,2Story,1Fam,Norm,0,14215,Pave,IR1,Norm,NridgHt,Lvl,AllPub,Partial,Ex,0,9,2006,11,0,0,0,0,0,154,240,Y,853,3,1,Typ,Gd,1158,1,4,1,3,0,0,2376,0,1218,1158,Y,New,GasA,1158,60
Attchd,1930.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,FuseF,Inside,Gtl,RM,PConc,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1950,1930,7,7,1.5Unf,1Fam,Norm,0,7449,Pave,Reg,Norm,IDOTRR,Bnk,AllPub,Normal,Ex,0,6,2007,6,0,0,0,0,205,0,0,N,280,1,1,Typ,Gd,637,1,3,0,1,0,0,1108,0,0,1108,Y,WD,GasA,637,45
Attchd,2002.0,RFn,TA,No,Unf,Unf,TA,Gd,281.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Hip,2002,2002,5,8,1Story,1Fam,Norm,0,9742,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,7,2008,9,0,0,0,0,0,159,171,Y,534,2,1,Typ,Gd,1777,1,3,0,2,0,0,1795,0,0,1795,Y,WD,GasA,1777,20
Attchd,1976.0,Unf,TA,No,Unf,GLQ,TA,Gd,0.0,None,SBrkr,Inside,Gtl,RM,PConc,TA,TA,CmentBd,CemntBd,CompShg,Gable,1976,1976,7,5,1Story,TwnhsE,Norm,840,4224,Pave,Reg,Norm,MeadowV,Lvl,AllPub,Normal,TA,0,6,2007,6,0,0,0,0,0,110,100,Y,572,2,1,Typ,TA,200,1,3,0,1,0,1,1060,0,0,1060,Y,WD,GasA,1040,120
Attchd,1968.0,Unf,TA,Mn,ALQ,Rec,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,Gd,TA,Plywood,Plywood,CompShg,Gable,2001,1968,8,5,1Story,1Fam,Norm,188,8246,Pave,IR1,Norm,Sawyer,Lvl,AllPub,Normal,Ex,668,6,2010,5,0,0,0,0,0,90,406,Y,270,1,1,Typ,Gd,204,1,3,0,1,0,1,1060,0,0,1060,Y,WD,GasA,1060,20
Attchd,2007.0,RFn,TA,No,Unf,Unf,TA,Gd,640.0,Stone,SBrkr,Corner,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2007,2007,5,8,1Story,1Fam,Norm,0,14230,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Normal,Ex,0,7,2009,7,0,0,0,0,0,56,0,Y,890,3,1,Typ,Gd,1566,1,3,0,2,0,0,1600,0,0,1600,Y,WD,GasA,1566,20
Detchd,2005.0,Unf,TA,Mn,Rec,BLQ,TA,TA,0.0,None,SBrkr,Corner,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,2000,1951,7,5,1Story,1Fam,Norm,234,7200,Pave,Reg,Norm,NAmes,Lvl,AllPub,Normal,TA,486,5,2010,5,0,0,0,0,0,32,222,Y,576,2,0,Typ,Gd,180,1,3,0,1,1,0,900,0,0,900,Y,WD,GasA,900,20
Attchd,2008.0,RFn,TA,No,Unf,GLQ,TA,Ex,200.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2008,2007,5,8,1Story,1Fam,Norm,1218,11478,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Normal,Ex,0,7,2010,5,0,0,0,0,0,50,0,Y,772,3,1,Typ,Gd,486,1,3,0,2,0,1,1704,0,0,1704,Y,WD,GasA,1704,20
Attchd,1957.0,RFn,TA,Gd,Unf,BLQ,TA,TA,0.0,None,SBrkr,CulDSac,Gtl,RL,CBlock,TA,TA,MetalSd,MetalSd,CompShg,Gable,1997,1957,6,5,1Story,1Fam,Norm,1277,16321,Pave,IR1,Norm,NAmes,Lvl,AllPub,Normal,TA,0,6,2006,12,0,0,0,0,0,258,288,Y,319,1,2,Typ,TA,207,1,2,0,1,0,1,1600,0,0,1600,Y,WD,GasA,1484,20
Detchd,1920.0,Unf,Fa,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,RM,BrkTil,TA,TA,MetalSd,MetalSd,CompShg,Gable,1950,1927,6,4,1Story,1Fam,RRNn,0,6324,Pave,IR1,Feedr,BrkSide,Lvl,AllPub,Normal,Fa,0,4,2008,5,0,0,0,0,87,0,49,Y,240,1,0,Typ,Fa,520,1,1,0,1,0,0,520,0,0,520,N,WD,GasA,520,30
Detchd,1920.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,C (all),BrkTil,Fa,TA,BrkFace,BrkFace,CompShg,Gambrel,1950,1920,4,4,2Story,1Fam,Norm,0,8500,Pave,Reg,Feedr,IDOTRR,Lvl,AllPub,Normal,TA,0,6,2008,7,0,0,0,0,172,54,0,N,250,1,0,Typ,TA,649,1,3,0,1,0,0,1317,0,668,649,N,WD,GasA,649,70
Attchd,1966.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,SBrkr,CulDSac,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Gable,2006,1966,6,5,1Story,1Fam,Norm,0,8544,Pave,IR1,Norm,Sawyer,Lvl,AllPub,Normal,Gd,0,6,2008,6,0,0,0,0,0,65,0,Y,271,1,0,Typ,Gd,1228,1,3,1,1,0,0,1228,0,0,1228,Y,WD,GasA,1228,20
Attchd,2007.0,RFn,TA,Av,Unf,Unf,TA,Ex,0.0,None,SBrkr,Corner,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2007,2007,5,8,1Story,1Fam,Norm,0,11049,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,7,2008,1,0,0,0,0,0,30,0,Y,484,2,0,Typ,Gd,1234,1,3,0,2,0,0,1234,0,0,1234,Y,WD,GasA,1234,20
Attchd,1959.0,RFn,TA,No,Unf,Rec,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,BrkFace,BrkFace,CompShg,Hip,1959,1959,5,5,1Story,1Fam,Norm,1018,10552,Pave,IR1,Norm,NAmes,Lvl,AllPub,Normal,Gd,0,6,2010,4,0,0,0,0,0,38,0,Y,447,2,1,Typ,Gd,380,1,4,1,1,1,0,1700,0,0,1700,Y,WD,GasA,1398,20
Attchd,2005.0,Fin,TA,No,Unf,GLQ,TA,Ex,246.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Ex,MetalSd,MetalSd,CompShg,Hip,2005,2005,5,9,1Story,TwnhsE,Norm,1153,7313,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Normal,Ex,0,6,2007,8,0,0,0,0,0,47,203,Y,556,2,1,Typ,Ex,408,1,2,0,2,0,1,1561,0,0,1561,Y,WD,GasA,1561,120
BuiltIn,2004.0,Fin,TA,Av,Unf,Unf,TA,Ex,132.0,Stone,SBrkr,Inside,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2005,2004,5,8,2Story,1Fam,Norm,0,13418,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Normal,Ex,0,9,2006,9,0,0,0,0,0,32,113,Y,691,3,1,Typ,Gd,1117,1,4,1,3,0,0,2452,0,1320,1132,Y,WD,GasA,1117,60
Attchd,1995.0,Unf,TA,No,Unf,Unf,TA,Gd,0.0,None,SBrkr,Corner,Gtl,RL,PConc,TA,TA,VinylSd,VinylSd,CompShg,Gable,1995,1994,5,5,1Story,1Fam,Norm,0,10859,Pave,Reg,Norm,CollgCr,Lvl,AllPub,Normal,Ex,0,6,2009,6,0,0,0,0,0,64,392,Y,672,2,0,Typ,TA,1097,1,3,1,1,0,0,1097,0,0,1097,Y,WD,GasA,1097,20
Attchd,1954.0,Fin,TA,No,Unf,Rec,TA,TA,650.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Hip,1990,1954,6,5,1Story,1Fam,Norm,1213,8532,Pave,Reg,Norm,NAmes,Lvl,AllPub,Normal,Gd,0,5,2009,10,0,0,0,0,0,0,0,Y,498,2,1,Typ,TA,84,1,3,0,1,1,0,1297,0,0,1297,Y,WD,GasA,1297,20
Detchd,1953.0,Unf,TA,No,Unf,GLQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,Gd,TA,VinylSd,VinylSd,CompShg,Gable,2007,1953,7,5,1Story,1Fam,Norm,731,7922,Pave,Reg,Norm,NAmes,Lvl,AllPub,Abnorml,TA,0,5,2010,1,0,0,0,0,0,52,0,Y,246,1,0,Typ,Gd,326,1,3,0,1,0,1,1057,0,0,1057,Y,WD,GasA,1057,20
,,,,,,,,,0.0,None,FuseP,Inside,Gtl,RL,PConc,TA,TA,Plywood,AsbShng,CompShg,Gable,1955,1955,5,4,1Story,Duplex,Norm,0,6040,Pave,Reg,Norm,Edwards,Lvl,AllPub,AdjLand,TA,0,6,2008,6,0,0,0,0,0,0,0,N,0,0,0,Typ,Fa,0,2,2,0,2,0,0,1152,0,0,1152,N,WD,GasA,0,90
Attchd,1965.0,RFn,TA,No,Unf,Rec,TA,TA,101.0,BrkFace,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1965,1965,5,6,1Story,1Fam,Norm,643,8658,Pave,Reg,Norm,NAmes,Lvl,AllPub,Abnorml,Ex,0,6,2006,12,0,0,0,0,0,138,0,Y,440,2,1,Typ,TA,445,1,3,0,2,0,0,1324,0,0,1324,Y,WD,GasA,1088,20
Attchd,1959.0,RFn,TA,Gd,Unf,BLQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,Gd,TA,VinylSd,VinylSd,CompShg,Gable,1959,1959,6,5,1Story,1Fam,Norm,967,16905,Pave,Reg,Norm,Timber,Lvl,AllPub,Normal,Gd,0,5,2007,7,0,0,0,0,0,104,0,P,308,1,2,Typ,TA,383,1,2,1,1,1,0,1328,0,0,1328,Y,WD,GasA,1350,20
Attchd,1983.0,RFn,TA,Av,LwQ,ALQ,TA,Gd,0.0,None,SBrkr,CulDSac,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Gable,1983,1983,7,5,SFoyer,1Fam,Norm,747,9180,Pave,IR1,Norm,SawyerW,Lvl,AllPub,Normal,Gd,93,5,2007,12,0,0,0,0,0,0,240,Y,504,2,0,Typ,Gd,0,1,2,0,1,0,1,884,0,0,884,Y,WD,GasA,840,85
Detchd,1977.0,Unf,TA,Av,BLQ,LwQ,TA,Gd,0.0,None,SBrkr,CulDSac,Gtl,RL,CBlock,TA,TA,VinylSd,VinylSd,CompShg,Hip,1980,1975,6,5,1Story,1Fam,Norm,280,9200,Pave,IR1,Norm,CollgCr,Lvl,AllPub,Normal,TA,491,5,2008,7,0,0,0,0,0,0,145,Y,308,1,0,Typ,TA,167,1,3,0,1,0,1,938,0,0,938,Y,WD,GasA,938,20
Attchd,1959.0,RFn,TA,No,BLQ,ALQ,TA,TA,0.0,None,FuseA,Inside,Gtl,RL,CBlock,TA,TA,Wd Sdng,BrkFace,CompShg,Gable,1959,1959,6,5,1Story,1Fam,Norm,179,7945,Pave,Reg,Norm,NAmes,Lvl,AllPub,Normal,Ex,506,6,2006,5,0,0,0,0,0,0,0,Y,300,1,0,Typ,TA,465,1,3,0,1,0,1,1150,0,0,1150,Y,WD,GasA,1150,20
Attchd,2005.0,RFn,TA,No,Unf,GLQ,TA,Ex,412.0,BrkFace,SBrkr,Inside,Gtl,RL,PConc,TA,Ex,MetalSd,MetalSd,CompShg,Hip,2005,2005,5,9,1Story,TwnhsE,Norm,456,7658,Pave,Reg,Norm,NridgHt,Lvl,AllPub,Normal,Ex,0,6,2010,2,0,0,0,0,0,82,196,Y,576,2,1,Typ,Ex,1296,1,2,0,2,0,1,1752,0,0,1752,Y,WD,GasA,1752,120
Attchd,2003.0,RFn,TA,No,Unf,GLQ,TA,Ex,0.0,None,SBrkr,CulDSac,Gtl,RL,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2003,2003,5,7,1.5Fin,1Fam,Norm,1351,12822,Pave,IR1,Norm,Mitchel,Lvl,AllPub,Abnorml,Ex,0,6,2009,8,0,0,198,0,0,43,168,Y,670,2,1,Typ,Gd,83,1,1,1,1,0,1,2149,0,631,1518,Y,WD,GasA,1434,50
Attchd,2006.0,RFn,TA,Av,Unf,GLQ,TA,Gd,0.0,None,SBrkr,Inside,Gtl,FV,PConc,TA,Gd,VinylSd,VinylSd,CompShg,Gable,2006,2006,5,8,1Story,1Fam,Norm,24,11096,Pave,Reg,Norm,Somerst,Lvl,AllPub,Normal,Ex,0,7,2007,7,0,0,0,0,0,146,0,Y,826,3,0,Typ,Gd,1632,1,3,0,2,0,0,1656,0,0,1656,Y,WD,GasA,1656,20
,,,,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,RM,BrkTil,TA,TA,MetalSd,MetalSd,CompShg,Gable,2008,1920,5,4,2Story,2fmCon,Norm,0,4456,Pave,Reg,Norm,OldTown,Lvl,AllPub,Partial,Gd,0,8,2009,6,0,0,0,0,102,0,0,N,0,0,0,Typ,TA,736,3,2,0,2,0,0,1452,0,716,736,Y,New,GasA,736,190
Attchd,1966.0,Unf,TA,No,Unf,BLQ,TA,TA,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,TA,HdBoard,HdBoard,CompShg,Gable,1966,1966,7,5,1Story,1Fam,Norm,763,7742,Pave,Reg,Norm,Sawyer,Lvl,AllPub,Normal,Ex,0,6,2007,1,0,0,0,0,0,0,0,Y,386,1,0,Typ,TA,192,1,3,0,1,0,1,955,0,0,955,Y,WD,GasA,955,20
Attchd,1997.0,Fin,TA,Av,Unf,GLQ,TA,Gd,0.0,None,SBrkr,Corner,Gtl,RL,PConc,TA,TA,VinylSd,VinylSd,CompShg,Gable,1997,1997,6,6,2Story,1Fam,Norm,182,13869,Pave,IR2,Norm,Gilbert,Lvl,AllPub,Normal,Gd,0,6,2007,7,0,0,0,0,0,75,0,Y,388,2,0,Typ,TA,612,1,3,0,2,1,0,1470,0,676,794,Y,WD,GasA,794,60
Detchd,1985.0,Unf,TA,No,Unf,Unf,TA,TA,0.0,None,SBrkr,Inside,Gtl,RM,PConc,TA,TA,Wd Sdng,Wd Sdng,CompShg,Gable,1950,1934,6,6,1.5Fin,1Fam,Norm,0,6240,Pave,Reg,Norm,BrkSide,Lvl,AllPub,Normal,TA,0,6,2006,9,400,0,0,0,0,0,112,Y,528,2,1,Typ,TA,816,1,3,0,1,0,0,1176,360,0,816,Y,WD,GasA,816,50
CarPort,1963.0,Unf,TA,Gd,GLQ,LwQ,TA,Gd,0.0,None,SBrkr,Corner,Mod,RM,CBlock,TA,Fa,Wd Sdng,Wd Sdng,CompShg,Gable,1963,1963,5,5,1Story,Duplex,Norm,104,8472,Grvl,IR2,RRNn,IDOTRR,Bnk,AllPub,Normal,TA,712,5,2010,5,0,0,0,0,0,0,106,Y,516,2,0,Typ,TA,0,1,2,0,1,0,1,816,0,0,816,N,WD,GasA,816,90
Attchd,1981.0,Fin,TA,Gd,Unf,GLQ,TA,Ex,0.0,None,SBrkr,Inside,Gtl,RL,CBlock,TA,Gd,Wd Shng,WdShing,WdShngl,Gable,1987,1981,5,9,1Story,1Fam,Norm,1810,50271,Pave,IR1,Norm,Veenker,Low,AllPub,Normal,Gd,0,5,2006,11,0,0,0,0,0,72,857,Y,894,3,1,Typ,Gd,32,1,0,1,0,0,2,1842,0,0,1842,Y,WD,GasA,1842,20
Detchd,1962.0,Unf,TA,No,Unf,ALQ,TA,TA,0.0,None,SBrkr,Inside,Mod,RL,CBlock,TA,TA,MetalSd,MetalSd,CompShg,Gable,1955,1955,5,5,SLvl,1Fam,Norm,384,7134,Pave,Reg,Norm,NAmes,Bnk,AllPub,Normal,TA,0,6,2007,2,0,0,0,0,0,50,0,Y,572,2,1,Min1,TA,0,1,3,0,1,0,0,1360,0,0,1360,Y,WD,GasA,384,80
